device_id,amount_inr,transaction_ref,sms_timestamp,sender,body
260OXPHK,100.00,"a/c *6116 debited rs. 100.00 on 10-04-26 to ajit nomo su. upi:610049369266. not you? sms block to 9289592895, dial 1930 ",2026-04-10 22:31:52,AD-INDBNK-S,"A/c *6116 debited Rs. 100.00 on 10-04-26 to Ajit Nomo Su. UPI:610049369266. Not you? SMS BLOCK to 9289592895, Dial 1930 for Cyber Fraud - Indian Bank"
260OXPHK,627.00,"a/c *6116 debited rs. 627.00 on 11-04-26 to cng site 133. upi:610149952420. not you? sms block to 9289592895, dial 1930 ",2026-04-11 00:36:24,AD-INDBNK-S,"A/c *6116 debited Rs. 627.00 on 11-04-26 to CNG Site 133. UPI:610149952420. Not you? SMS BLOCK to 9289592895, Dial 1930 for Cyber Fraud - Indian Bank"
260OXPHK,257.00,"a/c *6116 debited rs. 257.00 on 11-04-26 to auto care ce. upi:610149969414. not you? sms block to 9289592895, dial 1930 ",2026-04-11 00:44:46,AX-INDBNK-S,"A/c *6116 debited Rs. 257.00 on 11-04-26 to Auto Care Ce. UPI:610149969414. Not you? SMS BLOCK to 9289592895, Dial 1930 for Cyber Fraud - Indian Bank"
260OXPHK,20.00,"a/c *6116 debited rs. 20.00 on 11-04-26 to d priyanka. upi:610149985590. not you? sms block to 9289592895, dial 1930 for",2026-04-11 00:54:02,AX-INDBNK-S,"A/c *6116 debited Rs. 20.00 on 11-04-26 to D PRIYANKA. UPI:610149985590. Not you? SMS BLOCK to 9289592895, Dial 1930 for Cyber Fraud - Indian Bank"
260OXPHK,60.00,"a/c *6116 debited rs. 60.00 on 11-04-26 to kalavathi. upi:610151224786. not you? sms block to 9289592895, dial 1930 for ",2026-04-11 08:54:54,AX-INDBNK-S,"A/c *6116 debited Rs. 60.00 on 11-04-26 to KALAVATHI. UPI:610151224786. Not you? SMS BLOCK to 9289592895, Dial 1930 for Cyber Fraud - Indian Bank"
260OXPHK,500.00,"a/c *6116 debited rs. 500.00 on 11-04-26 to popular moto. upi:759969068417. not you? sms block to 9289592895, dial 1930 ",2026-04-11 11:04:35,AX-INDBNK-S,"A/c *6116 debited Rs. 500.00 on 11-04-26 to POPULAR MOTO. UPI:759969068417. Not you? SMS BLOCK to 9289592895, Dial 1930 for Cyber Fraud - Indian Bank"
3J8BY41F,75.00,640819352916,2026-04-10 10:15:32,VA-SBIUPI-S,Dear UPI user A/C X4157 debited by 75.00 on date 10Apr26 trf to SRIDHAR K Refno 640819352916 If not u? call-1800111109 for other services-18001234-SBI
44BPEYGM,18000.00,610066998305,2026-04-10 16:23:51,VA-SBIUPI-S,Dear UPI user A/C X7628 debited by 18000.00 on date 10Apr26 trf to SUMIT  BHAGEL Refno 610066998305 If not u? call-1800111109 for other services-18001234-SBI
5STN20FL,20.00,525632529432,2026-04-11 12:27:44,AX-IPBMSG-S,"A/C X5135 Debit Rs.20.00 for UPI to mrs lakshmamma on 11-04-26 Ref 525632529432. Avl Bal Rs.3856.25. If not you? SMS FREEZE ""full a/c"" to 7669034700-IPPB"
5YKFI69J,0.59,"dear customer,your a/c xx3729 debited with rs.0.59 towards bank charges on 11-04-2026.available balance: rs.12105.61-pnb",2026-04-11 11:18:08,VA-PNBSMS-S,"Dear Customer,your A/c XX3729 debited with Rs.0.59 towards bank charges on 11-04-2026.Available balance: Rs.12105.61-PNB"
6S1PYMJX,1000.00,284923723086,2026-04-10 20:58:44,VK-IOBCHN-S,"Your a/c XXXXX77 debited for payee RAMAKANTH  . for Rs. 1000.00 on 2026-04-10, ref 284923723086.If not you, report to your bank immediately-IOB."
7W7KO7UZ,150.00,610115200559,2026-04-11 08:28:18,AX-INDUSB-S,A/C *XX4590 debited by Rs 150.00 towards sudhirsharma.kk1986@ybl. RRN:610115200559. Avl Bal:249.60. Not you? Call 18602677777 - IndusInd bank
97TOTCNN,10000.00,"inr 10000.00 debited a/c no. xx8819 10-04-26, 18:15:56 upi/p2a/964806866114/harevendra singh not you? sms blockupi cust ",2026-04-10 18:15:58,VA-AXISBK-S,"INR 10000.00 debited
A/c no. XX8819
10-04-26, 18:15:56
UPI/P2A/964806866114/HAREVENDRA SINGH
Not you? SMS BLOCKUPI Cust ID to 919951860002
Axis Bank"
97TOTCNN,100.00,"inr 100.00 debited a/c no. xx8819 10-04-26, 22:29:46 upi/p2a/610040051828/haresh sharma not you? sms blockupi cust id to",2026-04-10 22:29:47,AD-AXISBK-S,"INR 100.00 debited
A/c no. XX8819
10-04-26, 22:29:46
UPI/P2A/610040051828/HARESH SHARMA
Not you? SMS BLOCKUPI Cust ID to 919951860002
Axis Bank"
97TOTCNN,420.00,"inr 420.00 debited a/c no. xx8819 10-04-26, 22:41:17 upi/p2a/141247496864/vijay singh not you? sms blockupi cust id to 9",2026-04-10 22:41:18,JM-AXISBK-S,"INR 420.00 debited
A/c no. XX8819
10-04-26, 22:41:17
UPI/P2A/141247496864/VIJAY SINGH
Not you? SMS BLOCKUPI Cust ID to 919951860002
Axis Bank"
97TOTCNN,99.00,"for the upcoming mandate set for 12/04/2026 ,your account will be debited with rs99.00 towards oolka for the upisubscrip",2026-04-11 06:32:36,JX-IPBMSG-S,"For the upcoming mandate set for 12/04/2026 ,your account will be debited with Rs99.00 towards Oolka for the UPISubscription, 610156479474. If mandate is"
97TOTCNN,29.50,"dear customer,your a/c xx3768 debited with rs.29.50 towards bank charges on 11-04-2026.available balance: rs.3.27-pnb",2026-04-11 08:33:10,BG-PNBSMS-S,"Dear Customer,your A/c XX3768 debited with Rs.29.50 towards bank charges on 11-04-2026.Available balance: Rs.3.27-PNB"
